TIME,Value
2015W52,"17,176"
2015W53,"17,21"
2016W01,"18,467"
2016W02,"18,439"
2016W03,"18,627"
2016W04,"18,707"
2016W05,"18,493"
2016W06,"18,541"
2016W07,"18,483"
2016W08,"18,475"
2016W09,"18,926"
2016W10,"18,888"
2016W11,"18,971"
2016W12,"18,826"
2016W13,"18,617"
2016W14,"18,244"
2016W15,"17,712"
2016W16,"16,775"
2016W17,"17,053"
2016W18,"16,901"
2016W19,"17,629"
2016W20,"16,601"
2016W21,"16,286"
2016W22,"16,346"
2016W23,"15,799"
2016W24,"15,717"
2016W25,"16,91"
2016W26,"15,699"
2016W27,"16,229"
2016W28,"16,172"
2016W29,"16,985"
2016W30,"16,157"
2016W31,"15,439"
2016W32,"15,487"
2016W33,"16,258"
2016W34,"17,147"
2016W35,"16,101"
2016W36,"16,116"
2016W37,"16,372"
2016W38,"15,606"
2016W39,"16,336"
2016W40,"16,352"
2016W41,"17,427"
2016W42,"17,599"
2016W43,"17,586"
2016W44,"17,58"
2016W45,"17,782"
2016W46,"18,591"
2016W47,"17,911"
2016W48,"18,146"
2016W49,"18,793"
2016W50,"18,885"
2016W51,"19,376"
2016W52,"19,744"
2017W01,"20,918"
2017W02,"22,07"
2017W03,"21,236"
2017W04,"22,083"
2017W05,"23,64"
2017W06,"22,744"
2017W07,"22,683"
2017W08,"22,266"
2017W09,"20,93"
2017W10,"19,102"
2017W11,"18,665"
2017W12,"17,64"
2017W13,"17,731"
2017W14,"17,028"
2017W15,"16,901"
2017W16,"16,637"
2017W17,"17,634"
2017W18,"17,129"
2017W19,"17,343"
2017W20,"17,079"
2017W21,"16,451"
2017W22,"16,902"
2017W23,"15,846"
2017W24,"16,087"
2017W25,"16,819"
2017W26,"16,076"
2017W27,"16,424"
2017W28,"15,603"
2017W29,"16,589"
2017W30,"16,058"
2017W31,"16,494"
2017W32,"15,784"
2017W33,"16,148"
2017W34,"15,88"
2017W35,"16,064"
2017W36,"15,706"
2017W37,"16,146"
2017W38,"16,505"
2017W39,"16,747"
2017W40,"16,664"
2017W41,"17,47"
2017W42,"17,139"
2017W43,"17,059"
2017W44,"16,762"
2017W45,"17,371"
2017W46,"17,594"
2017W47,"17,676"
2017W48,"17,877"
2017W49,"18,295"
2017W50,"18,504"
2017W51,"18,5"
2017W52,"18,652"
2018W01,"19,342"
2018W02,"18,77"
2018W03,"19,187"
2018W04,"19,171"
2018W05,"19,558"
2018W06,"20,086"
2018W07,"21,254"
2018W08,"22,888"
2018W09,"25,535"
2018W10,"26,777"
2018W11,"24,385"
2018W12,"22,777"
2018W13,"20,906"
2018W14,"20,038"
2018W15,"19,165"
2018W16,"17,992"
2018W17,"17,093"
2018W18,"16,789"
2018W19,"17,226"
2018W20,"16,488"
2018W21,"16,513"
2018W22,"17,039"
2018W23,"16,714"
2018W24,"15,582"
2018W25,"15,843"
2018W26,"16,569"
2018W27,"16,622"
